case_id,is_trap,intent_max_allowed,gold_obfuscation,behaviors_count,derived_privilege,decision,reasons
RT-A1-TRAP,True,L2,NONE,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
RT-A1-BENIGN,False,L2,NONE,1,L1,ALLOW,base=L2(R2); allowlist->L1; derived=L1 vs intent=L2->ALLOW
RT-A2-TRAP,True,L2,TARGET_HIDING,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->log(PERMISSIVE); derived=L3 vs intent=L2->BLOCK
RT-A2-BENIGN,False,L2,NONE,1,L1,ALLOW,base=L2(R2); allowlist->L1; derived=L1 vs intent=L2->ALLOW
RT-A3-TRAP,True,L2,NONE,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
RT-A3-BENIGN,False,L2,NONE,1,L1,ALLOW,base=L2(R2); allowlist->L1; derived=L1 vs intent=L2->ALLOW
RT-B1-TRAP,True,L2,NONE,1,L4,BLOCK,base=L4(R3); derived=L4 vs intent=L2->BLOCK
RT-B1-BENIGN,False,L4,NONE,1,L4,ALLOW,base=L4(R3); derived=L4 vs intent=L4->ALLOW
RT-B2-TRAP,True,L1,NONE,1,L4,BLOCK,base=L4(R3); derived=L4 vs intent=L1->BLOCK
RT-B2-BENIGN,False,L4,NONE,1,L4,ALLOW,base=L4(R3); derived=L4 vs intent=L4->ALLOW
RT-B3-TRAP,True,L2,PAYLOAD_HIDING,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->log(PERMISSIVE); derived=L4 vs intent=L2->BLOCK
RT-B3-BENIGN,False,L4,NONE,1,L4,ALLOW,base=L4(R3); derived=L4 vs intent=L4->ALLOW
RT-C1-TRAP,True,L3,TARGET_HIDING,1,L3,ALLOW,base=L3(R1); obfusc=TARGET_HIDING->log(PERMISSIVE); derived=L3 vs intent=L3->ALLOW
RT-C1-BENIGN,False,L2,TARGET_HIDING,1,L2,ALLOW,base=L2(R2); obfusc=TARGET_HIDING->log(PERMISSIVE); derived=L2 vs intent=L2->ALLOW
