case_id,is_trap,intent_max_allowed,gold_obfuscation,predicted_behaviors_count,derived_privilege,decision,reasons
SR20-PY-DOCS-01-BENIGN,False,L1,NONE(empty),0,L0,ALLOW,no behaviors
SR20-PY-DOCS-02-BENIGN,False,L1,NONE(empty),1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L1->BLOCK
SR20-PY-META-01-BENIGN,False,L2,NONE,0,L0,ALLOW,no behaviors
SR20-PY-META-02-BENIGN,False,L2,TARGET_HIDING,1,L4,BLOCK,base=L4(R3); obfusc=TARGET_HIDING->log(PERMISSIVE); derived=L4 vs intent=L2->BLOCK
SR20-PY-META-03-TRAP,True,L2,TARGET_HIDING,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->log(PERMISSIVE); derived=L3 vs intent=L2->BLOCK
SR20-PY-META-04-BENIGN,False,L2,TARGET_HIDING,4,L4,BLOCK,base=L4(R3); derived=L4 vs intent=L2->BLOCK | base=L4(R3); derived=L4 vs intent=L2->BLOCK | base=L1(R5b); unresolvable_target->log(PERMISSIVE); derived=L1 vs intent=L2->ALLOW | base=L3(R6); obfusc=TARGET_HIDING->log(PERMISSIVE); derived=L3 vs intent=L2->BLOCK
SR20-PY-META-05-BENIGN,False,L2,TARGET_HIDING,2,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW | base=L2(R2); obfusc=TARGET_HIDING->log(PERMISSIVE); derived=L2 vs intent=L2->ALLOW
SR20-PY-META-06-TRAP,True,L2,NONE,4,L4,BLOCK,base=L3(R6); derived=L3 vs intent=L2->BLOCK | base=L3(R1); derived=L3 vs intent=L2->BLOCK | base=L4(R3); derived=L4 vs intent=L2->BLOCK | base=L4(R3); derived=L4 vs intent=L2->BLOCK
SR20-PY-SRC-01-TRAP,True,L2,NONE,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
SR20-PY-SRC-02-TRAP,True,L3,TARGET_HIDING,3,L3,ALLOW,base=L1(R5b); derived=L1 vs intent=L3->ALLOW | base=L2(R4); derived=L2 vs intent=L3->ALLOW | base=L3(R1); derived=L3 vs intent=L3->ALLOW
SR20-PY-SRC-03-TRAP,True,L4,PAYLOAD_HIDING,1,L4,ALLOW,base=L4(R3); obfusc=PAYLOAD_HIDING->log(PERMISSIVE); derived=L4 vs intent=L4->ALLOW
SR20-PY-SRC-04-BENIGN,False,L2,NONE,2,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW | base=L1(R5b); derived=L1 vs intent=L2->ALLOW
SR20-PY-SRC-05-BENIGN,False,L2,CONTENT_DATA,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR20-PY-SRC-06-TRAP,True,L2,PAYLOAD_HIDING,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->log(PERMISSIVE); derived=L4 vs intent=L2->BLOCK
SR20-PY-BUILD-01-TRAP,True,L2,NONE,1,L4,BLOCK,base=L4(R3); derived=L4 vs intent=L2->BLOCK
SR20-PY-BUILD-02-BENIGN,False,L4,NONE,1,L4,ALLOW,base=L4(R3); derived=L4 vs intent=L4->ALLOW
SR20-PY-BUILD-03-TRAP,True,L2,PAYLOAD_HIDING,1,L4,BLOCK,base=L4(R3); obfusc=PAYLOAD_HIDING->log(PERMISSIVE); derived=L4 vs intent=L2->BLOCK
SR20-PY-BUILD-04-TRAP,True,L2,TARGET_HIDING,3,L4,BLOCK,base=L4(R3); derived=L4 vs intent=L2->BLOCK | base=L1(R5b); derived=L1 vs intent=L2->ALLOW | base=L3(R1); obfusc=TARGET_HIDING->log(PERMISSIVE); derived=L3 vs intent=L2->BLOCK
SR20-PY-BUILD-05-TRAP,True,L4,PAYLOAD_HIDING,2,L4,ALLOW,base=L4(R3); obfusc=PAYLOAD_HIDING->log(PERMISSIVE); derived=L4 vs intent=L4->ALLOW | base=L4(R3); obfusc=PAYLOAD_HIDING->log(PERMISSIVE); derived=L4 vs intent=L4->ALLOW
SR20-PY-BUILD-06-BENIGN,False,L2,NONE,2,L4,BLOCK,base=L1(R5b); unresolvable_target->log(PERMISSIVE); derived=L1 vs intent=L2->ALLOW | base=L4(R3); derived=L4 vs intent=L2->BLOCK
